SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,1.19999988,31,0,0.471128341,6370.0,3,0,2,0,0.0
0,1.0633117991999999,47,0,0.368292412,11700.0,17,0,3,0,1.0
0,0.0997375332,86,0,5.0,7020.0,3,0,1,0,0.0
0,0.021597459599999997,64,0,5.0,7020.0,7,0,1,0,0.0
0,0.3085170456,89,0,5.0,0.0,6,0,0,0,0.0
0,0.39437358479999995,41,0,0.405513498,9100.0,9,0,1,0,0.0
0,1.10523159,61,0,1.151241535,4030.0,14,0,3,0,0.0
0,0.0007874748,73,0,0.0,7020.0,2,0,0,0,0.0
0,0.4500288456,58,0,0.259630776,12181.0,11,0,2,0,1.0
0,0.023838968399999997,57,0,0.490733877,1752.4,6,0,0,0,0.0
0,0.0,31,0,0.204950816,12025.0,12,0,2,0,0.0
0,0.0,54,2,0.351324338,2600.0,6,0,0,0,1.0
0,0.0,30,0,0.0,10400.0,2,0,0,0,0.0
1,1.1988023952,26,0,5.0,0.0,6,1,0,0,0.0
0,0.534856152,47,1,0.300791113,7722.0,6,0,1,0,2.0
0,0.057120790799999994,48,0,0.474609375,4657.900000000001,13,0,1,0,1.0
0,1.1592407592,30,0,0.14985015,1300.0,2,0,0,0,0.0
0,0.052614079200000004,55,0,0.490809416,4030.0,12,0,2,1,0.0
0,0.0588570576,39,0,0.230183454,11265.800000000001,3,0,2,0,0.0
0,0.09771531,49,2,0.246675332,13000.0,9,0,1,0,3.0
0,0.363860904,63,0,0.225445582,20567.3,9,0,1,0,0.0
0,0.217662984,52,0,0.507486754,5642.0,10,0,1,0,0.0
0,0.09587041319999999,55,0,0.205201897,18092.100000000002,9,0,2,0,2.0
1,1.19999988,60,0,0.231107557,3250.0,1,2,0,1,0.0
0,0.28788313559999995,57,0,0.77316152,5850.0,5,0,1,0,0.0
0,0.3084162108,77,0,0.424065821,7582.900000000001,10,0,2,0,1.0
0,0.43247287079999996,57,1,0.492092347,7150.0,7,0,1,0,2.0
0,0.1856942496,30,0,0.90283176,2340.0,6,0,1,0,0.0
0,0.1793751204,58,0,0.288571067,10270.0,11,0,2,0,0.0
0,0.4483310604,46,0,5.0,0.0,11,0,2,0,2.0
0,0.5269461071999999,38,0,0.051885599,5135.0,1,0,0,0,2.0
0,0.035370344399999996,74,1,0.007554193,11872.9,12,0,0,0,3.0
0,0.0321643164,73,0,5.0,7020.0,11,0,0,0,0.0
0,0.0551265924,56,0,0.183659431,17007.9,5,0,1,0,4.0
0,0.18589388999999998,54,1,0.392699372,5590.0,10,0,1,0,1.0
0,0.8557153512000001,43,0,0.666084748,8190.0,10,0,1,0,2.0
0,0.024444642,71,0,0.323558814,3900.0,28,0,1,0,0.0
0,1.1448551448,23,0,0.078100594,4160.0,8,0,0,0,0.0
0,0.0065998728,45,0,0.362804144,5395.0,7,0,1,0,0.0
0,0.0,61,0,0.000754575,6890.0,6,0,0,0,0.0
0,0.7222274303999999,35,0,0.352568424,9640.800000000001,11,0,2,0,0.0
0,0.10403348999999999,42,0,0.187322012,12324.0,7,0,1,0,2.0
0,0.257203356,41,0,0.322903086,2990.0,4,0,1,0,0.0
0,0.0279434376,65,0,5.0,7020.0,20,0,3,0,1.0
0,0.5014194047999999,35,1,1.054778089,3250.0,11,0,2,0,0.0
0,0.7493513195999999,57,0,0.36777078,27040.0,14,0,2,0,7.0
0,0.2701735548,47,0,0.294877711,8450.0,11,0,1,0,1.0
1,0.1916167668,47,1,5.0,7020.0,3,2,0,0,0.0
1,1.2179910048,33,1,5.0,7020.0,3,0,0,0,0.0
0,0.023853877199999998,74,0,0.00839832,2165.8,3,0,0,0,1.0
0,0.2993540976,26,0,0.882352941,993.2,4,0,0,0,0.0
0,0.4869265704,83,0,0.309601793,7540.0,22,0,1,0,1.0
0,0.18227005200000002,59,0,0.301074556,19597.5,13,0,2,0,0.0
0,0.399883338,48,0,5.0,7020.0,7,0,3,0,0.0
